-DOCSTART- -X- -X- O

Naloxone	NN	B-NP	O
reverses	VBZ	B-VP	O
the	DT	B-NP	O
antihypertensive	JJ	I-NP	O
effect	NN	I-NP	O
of	IN	B-PP	O
clonidine	NN	B-NP	O
.	.	O	O

In	IN	B-PP	O
unanesthetized	JJ	B-NP	O
,	,	I-NP	O
spontaneously	RB	I-NP	O
hypertensive	JJ	I-NP	B
rats	NNS	I-NP	O
the	DT	B-NP	O
decrease	NN	I-NP	O
in	IN	B-PP	O
blood	NN	B-NP	O
pressure	NN	I-NP	O
and	CC	I-NP	O
heart	NN	I-NP	O
rate	NN	I-NP	O
produced	VBN	B-VP	O
by	IN	B-PP	O
intravenous	JJ	B-NP	O
clonidine	NN	I-NP	O
,	,	O	O
num	CD	B-NP	O
to	TO	I-NP	O
num	CD	I-NP	O
micrograms	NNS	I-NP	O
/	SYM	B-NP	O
kg	NN	I-NP	O
,	,	O	O
was	VBD	B-VP	O
inhibited	VBN	I-VP	O
or	CC	I-VP	O
reversed	VBN	I-VP	O
by	IN	B-PP	O
nalozone	NN	B-NP	O
,	,	O	O
num	CD	B-NP	O
to	TO	I-NP	O
num	CD	I-NP	O
mg	NN	I-NP	O
/	SYM	B-NP	O
kg	NN	I-NP	O
.	.	O	O

The	DT	B-NP	O
hypotensive	JJ	I-NP	B
effect	NN	I-NP	O
of	IN	B-PP	O
num	CD	B-NP	O
mg	NN	I-NP	O
/	SYM	B-NP	O
kg	NN	I-NP	O
alpha	SYM	O	O
-	HYPH	O	O
methyldopa	NN	B-NP	O
was	VBD	B-VP	O
also	RB	I-VP	O
partially	RB	I-VP	O
reversed	VBN	I-VP	O
by	IN	B-PP	O
naloxone	NN	B-NP	O
.	.	O	O

Naloxone	NN	B-NP	O
alone	RB	B-ADVP	O
did	VBD	B-VP	O
not	RB	I-VP	O
affect	VB	I-VP	O
either	CC	O	O
blood	NN	B-NP	O
pressure	NN	I-NP	O
or	CC	O	O
heart	NN	B-NP	O
rate	NN	I-NP	O
.	.	O	O

In	IN	B-PP	O
brain	NN	B-NP	O
membranes	NNS	I-NP	O
from	IN	B-PP	O
spontaneously	RB	B-NP	O
hypertensive	JJ	I-NP	B
rats	NNS	I-NP	O
clonidine	NN	I-NP	O
,	,	O	O
num	CD	B-NP	O
to	TO	I-NP	O
num	CD	I-NP	O
M	NN	I-NP	O
,	,	O	O
did	VBD	B-VP	O
not	RB	I-VP	O
influence	VB	I-VP	O
stereoselective	JJ	B-NP	O
binding	NN	I-NP	O
of	IN	B-PP	O
[	(	O	O
3H	NN	B-NP	O
]	)	O	O
-	HYPH	B-NP	O
naloxone	NN	I-NP	O
(	(	O	O
num	CD	B-NP	O
nM	NN	I-NP	O
)	)	O	O
,	,	O	O
and	CC	O	O
naloxone	NN	B-NP	O
,	,	O	O
num	CD	B-NP	O
to	TO	I-NP	O
num	CD	I-NP	O
M	NN	I-NP	O
,	,	O	O
did	VBD	B-VP	O
not	RB	I-VP	O
influence	VB	I-VP	O
clonidine	NN	B-NP	O
-	HYPH	B-NP	O
suppressible	JJ	I-NP	O
binding	NN	I-NP	O
of	IN	B-PP	O
[	(	O	O
3H	NN	B-NP	O
]	)	O	O
-	HYPH	B-NP	O
dihydroergocryptine	NN	I-NP	O
(	(	O	O
num	CD	B-NP	O
nM	NN	I-NP	O
)	)	O	O
.	.	O	O

These	DT	B-NP	O
findings	NNS	I-NP	O
indicate	VBP	B-VP	O
that	IN	B-SBAR	O
in	IN	B-PP	O
spontaneously	RB	B-NP	O
hypertensive	JJ	I-NP	B
rats	NNS	I-NP	O
the	DT	B-NP	O
effects	NNS	I-NP	O
of	IN	B-PP	O
central	JJ	B-NP	O
alpha	SYM	I-NP	O
-	HYPH	I-NP	O
adrenoceptor	NN	I-NP	O
stimulation	NN	I-NP	O
involve	VBP	B-VP	O
activation	NN	B-NP	O
of	IN	B-PP	O
opiate	JJ	B-NP	O
receptors	NNS	I-NP	O
.	.	O	O

As	IN	B-SBAR	O
naloxone	NN	B-NP	O
and	CC	I-NP	O
clonidine	NN	I-NP	O
do	VBP	B-VP	O
not	RB	I-VP	O
appear	VB	I-VP	O
to	TO	I-VP	O
interact	VB	I-VP	O
with	IN	B-PP	O
the	DT	B-NP	O
same	JJ	I-NP	O
receptor	NN	I-NP	O
site	NN	I-NP	O
,	,	O	O
the	DT	B-NP	O
observed	VBN	I-NP	O
functional	JJ	I-NP	O
antagonism	NN	I-NP	O
suggests	VBZ	B-VP	O
the	DT	B-NP	O
release	NN	I-NP	O
of	IN	B-PP	O
an	DT	B-NP	O
endogenous	JJ	I-NP	O
opiate	NN	I-NP	O
by	IN	B-PP	O
clonidine	NN	B-NP	O
or	CC	O	O
alpha	SYM	O	O
-	HYPH	O	O
methyldopa	NN	B-NP	O
and	CC	O	O
the	DT	B-NP	O
possible	JJ	I-NP	O
role	NN	I-NP	O
of	IN	B-PP	O
the	DT	B-NP	O
opiate	NN	I-NP	O
in	IN	B-PP	O
the	DT	B-NP	O
central	JJ	I-NP	O
control	NN	I-NP	O
of	IN	B-PP	O
sympathetic	JJ	B-NP	O
tone	NN	I-NP	O
.	.	O	O

Lidocaine	NN	B-NP	O
-	HYPH	O	O
induced	VBN	B-NP	O
cardiac	JJ	I-NP	B
asystole	NN	I-NP	I
.	.	O	O

Intravenous	JJ	B-NP	O
administration	NN	I-NP	O
of	IN	B-PP	O
a	DT	B-NP	O
single	JJ	I-NP	O
num	CD	I-NP	O
-	HYPH	I-NP	O
mg	NN	I-NP	O
bolus	NN	I-NP	O
of	IN	B-PP	O
lidocaine	NN	B-NP	O
in	IN	B-PP	O
a	DT	B-NP	O
num	CD	I-NP	O
-	HYPH	I-NP	O
year	NN	I-NP	O
-	HYPH	O	O
old	JJ	B-NP	O
man	NN	I-NP	O
resulted	VBD	B-VP	O
in	IN	B-PP	O
profound	JJ	B-NP	O
depression	NN	I-NP	B
of	IN	B-PP	O
the	DT	B-NP	O
activity	NN	I-NP	O
of	IN	B-PP	O
the	DT	B-NP	O
sinoatrial	JJ	I-NP	O
and	CC	I-NP	O
atrioventricular	JJ	I-NP	O
nodal	JJ	I-NP	O
pacemakers	NNS	I-NP	O
.	.	O	O

The	DT	B-NP	O
patient	NN	I-NP	O
had	VBD	B-VP	O
no	DT	B-NP	O
apparent	JJ	I-NP	O
associated	VBN	I-NP	O
conditions	NNS	I-NP	O
which	WDT	B-NP	O
might	MD	B-VP	O
have	VB	I-VP	O
predisposed	VBN	I-VP	O
him	PRP	B-NP	O
to	TO	B-PP	O
the	DT	B-NP	O
development	NN	I-NP	O
of	IN	B-PP	O
bradyarrhythmias	NNS	B-NP	B
;	:	O	O
and	CC	O	O
,	,	O	O
thus	RB	B-ADVP	O
,	,	O	O
this	DT	B-NP	O
probably	RB	I-NP	O
represented	VBN	I-NP	O
a	DT	B-NP	O
